obligation	production_abstraction	lean_theorems	positive_canaries	negative_canaries	gate_tokens
PLC-PROJECTION-CHOKEPOINT	Typed program plus resolved AIR must be encoded into one model-9 CSIR envelope at the shared compiler choke point, and only the linked Lean zero verdict may construct a FormalSecurityReport.	Combined.v8_semantic_verifier_sound_and_complete;Combined.joint_security_of_verified	every_successful_compilation_has_fresh_formal_evidence;formal_report_and_csir_fingerprint_are_deterministic	semantic_literal_payload_changes_the_csir_fingerprint;gate_cert_missing_formal_report_emits_r819;gate_cert_tampered_csir_fingerprint_emits_r819	formal::verify_with_context(&typed_for_formal, &air, &authority_registry, context);formal_security_verdict.map_err(to_err)?;pub const CSIR_MODEL_VERSION: u32 = 9;certificate_schema = 9
PLC-AIR-TRANSFERS	Resolved AIR reads and writes must agree with emitted SSA records, and every extracted CFG predecessor transfer must retain its source version or have a checked operand in the destination phi.	Combined.Projection.transfer_sound;Combined.Projection.checked_edges_preserved;Combined.Projection.checked_paths_preserved;Combined.Projection.checked_path_rank_monotone;Combined.Projection.accepted_bytes_have_checked_transfers;Combined.Projection.accepted_bytes_preserve_paths	projection_accepts_source_branches_loops_and_reordered_blocks	projection_rejects_stale_reads_and_reused_definitions;projection_rejects_missing_branch_and_backedge_inputs_even_when_plan_agrees;projection_rejects_wrong_successors_and_unreachable_annotation_drift;projection_native_checker_rejects_mutated_phi_records_and_witnesses;projection_refuses_truncated_oversized_and_unknown_certificate_shapes	projection::validate_function(;sigil_formal_bridge::validate_projection(&bytes, &transfers);if projection_verdict != 0
PLC-V8-SEMANTIC-TAINT	Retained-v8 semantic records must carry declared labels, policy classes, sinks, releases, guards, and CT-source policy without accepting Rust-computed taint verdicts.	Combined.graph_verifier_sound_and_complete;Combined.graphLabels_least;Combined.joint_security_of_verified;Combined.v8_semantic_verifier_sound_and_complete	v8_preserves_range_and_match_policy_classes_through_air;v8_accepts_the_two_stage_release_chain;v8_accepts_only_declared_public_or_ct_sources_for_direct_ct_promotion	linked_lean_derives_transitive_taint_instead_of_trusting_a_sink_label;linked_lean_enforces_direct_t030_ct_source_policy;secret_split_amount_keeps_the_source_level_t001;secret_ct_draw_amount_keeps_the_source_level_t027;public_amount_under_secret_pc_keeps_the_source_level_t001	formal::verify_with_context(&typed_for_formal, &air, &authority_registry, context);run_typed_security_passes(&typed);rust_taint = true
PLC-V9-OCCURRENCE-PUBLIC	Model-9 host, actor, FFI, and root declarations must authorize occurrence evidence only through the production v9 verifier, then feed the Public raw-machine corollary.	Combined.V9.OccurrenceKernelSecurity.v9_occurrence_verifier_sound_and_complete;Combined.V9.PublicBisimulationSecurity.raw_public_weak_bisimulation_of_v9_verified;Combined.RawClaimSurface.public_delimited_release_noninterference	production_v9_preserves_the_pure_secret_loop_header_twin;production_v9_enforces_actual_ffi_arguments_against_the_bound_profile	declaration_success_does_not_authorize_an_occurrence_boundary_violation;production_v9_rejects_actor_send_in_secret_loop_header;gate_cert_rejects_changed_host_occurrence_metadata_as_r819	def exportedVerify;formal::verify_with_context(&typed_for_formal, &air, &authority_registry, context);semantic_v9 = true
PLC-SECRETCT-RAW-COMPOSITION	Retained-v8 acceptance must supply the static-safe premise used by the unsanitized raw security-event machine and its equal-length SecretCT release theorem.	Combined.raw_secretCT_static_safe_of_v8_verified;Combined.raw_secretCT_step_lockstep_of_v8_verified;Combined.RawClaimSurface.secretCT_delimited_release_trace_equality;Combined.Semantic.state_well_formed_preserved	v8_accepts_the_two_stage_release_chain;formal_report_is_deterministic_across_multifile_input_order	linked_lean_rejects_secret_arm_successful_escape_before_merge;linked_lean_rejects_secret_flat_match_catch_all_escape;linked_lean_rejects_a_secret_arm_callee_that_halts_instead_of_returning	formal::verify_with_context(&typed_for_formal, &air, &authority_registry, context);historical_v8 = true
PLC-CAPABILITY-AUTHORITY	Capability origins, restriction, split, draw, control-flow meet, slot meet, sinks, and releases must be derived by the Lean checker and remain backed by the retained Rust/Z3 compatibility gate.	Combined.capability_verifier_sound_and_complete;Combined.capability_restriction_rejects_missing_authority;Combined.slot_authority_meet_rejects;Combined.empty_slot_take_accepts_guarded_continuation;Combined.empty_slot_take_still_enforces_authority_ceiling	linked_lean_slot_take_uses_the_meet_of_put_authorities;linked_lean_accepts_a_guarded_empty_slot_take	planted_bad_authority_is_rejected_by_linked_lean;linked_lean_rejects_a_capability_derivation_without_a_legitimate_origin;linked_lean_empty_slot_take_still_enforces_the_ceiling	capability::verify(&air, &authority_registry);z3_air_capability = true
PLC-PATH-AFFINE	Path-affine consumption must use verifier-produced branch, fallthrough, loop, and break states, while retained ownership remains a mandatory differential gate.	Combined.path_affine_verifier_sound_and_complete;Combined.alternative_path_consumption_accepts;Combined.use_after_may_consume_join_rejects;Combined.loop_backedge_consumption_rejects;Combined.single_break_consumption_accepts;Combined.use_after_break_consumption_rejects	exclusive_branches_may_each_consume_the_same_capability;break_consumption_reaches_the_post_loop_ownership_join;linked_lean_accepts_one_consumption_in_each_exclusive_arm;linked_lean_accepts_a_single_consumption_on_a_break_exit	use_after_a_may_consume_join_keeps_the_source_level_o001;loop_backedge_consumption_keeps_the_source_level_o001;linked_lean_rejects_two_consumptions_on_one_path;linked_lean_rejects_use_after_a_may_consume_join;linked_lean_rejects_consuming_a_loop_head_capability_on_a_back_edge	ownership::verify(&air);rust_ownership = true
PLC-QUANTITY-DIFFERENCE	Signed quantity cells and normalized literal-RHS difference constraints must stay in the supported zero-anchored fragment and reject unsupported cross-cell constraints.	Combined.difference_classifier_sound_and_complete_of_nodes;Combined.unsupported_cross_cell_constraint_rejects	negative_public_amount_compiles_with_an_unconditional_signed_wasm_guard	secret_split_amount_keeps_the_source_level_t001;secret_ct_draw_amount_keeps_the_source_level_t027;public_amount_under_secret_pc_keeps_the_source_level_t001	formal::verify_with_context(&typed_for_formal, &air, &authority_registry, context);obligations_v6 = true
PLC-CSIR-ENCODING	The v8 semantic suffix and v9 declaration envelope must preserve exact constructor inventories, owner order, operand spans, arities, CFG targets, and boundary identities.	Combined.canonical_semantic_envelope_accepts;Combined.wrong_semantic_constructor_count_rejects;Combined.missing_cfg_target_mutant_rejects;Combined.noncontiguous_operand_mutant_rejects;Combined.v8_semantic_verifier_sound_and_complete	linked_lean_accepts_canonical_v8_semantic_envelope;v8_constructor_manifest_is_an_exact_numeric_inventory;committed_wire_fixtures_match_the_explicit_generator_and_inventory;complete_profiles_and_boundary_identities_round_trip_without_security_evidence	linked_lean_rejects_wrong_v8_semantic_constructor_count;linked_lean_rejects_noncontiguous_v8_operand_slice;linked_lean_rejects_missing_v8_cfg_target;source_built_declarations_and_single_field_mutants_have_exact_verdicts;every_truncated_prefix_and_excessive_length_refuses_without_panicking;missing_actor_metadata_is_a_projection_error_not_an_inferred_contract	pub const CSIR_MODEL_VERSION: u32 = 9;model_version = 9;historical_v8 = true
PLC-DUAL-GATE-RETIREMENT-BOUNDARY	The composition profile does not retire the retained Rust/Z3 gates; the release evidence remains non-retirement-eligible until SR-017 exit evidence exists.	Combined.v8_semantic_verifier_sound_and_complete;Combined.joint_security_of_verified	v9_integration_cannot_silently_retire_the_dual_gates;required_ci_keeps_proof_scaling_and_solver_pressure;declaration_parity_cannot_disappear_from_required_or_portability_ci;hb2_checked_byte_capstone	hb2_checked_capstone_mutants_reject;gate_cert_missing_formal_report_emits_r819;gate_cert_tampered_csir_fingerprint_emits_r819	run_typed_security_passes(&typed);rust_taint = true;rust_ownership = true;z3_air_capability = true;retirement_eligible = false;unresolved_risks = ["SR-017"]
